ID,emailSubject,emailSender,emailReceived,vendorName,invoiceNumber,invoiceDate,invoiceAmount,currency_code,status,ocrConfidenceScore,errorMessage,totalAttachmentCount
046e3230-1234-4321-a001-7cb642591001,January Office Supplies Invoice,supplies@officeworks.co.za,2024-01-15T09:30:00Z,Office Works SA,INV-2024-001,2024-01-15,1250.75,ZAR,NEW,95.5,,1
046e3230-1234-4321-a001-7cb642591002,Stationery Order #45892,orders@waltons.co.za,2024-01-18T11:20:00Z,Waltons,WLT-45892,2024-01-18,3420.80,ZAR,VALIDATION,88.2,,2
046e3230-1234-4321-a001-7cb642591003,IT Equipment Invoice,sales@incredible.co.za,2024-01-20T14:15:00Z,Incredible Connection,ICN-78945,2024-01-20,15999.99,ZAR,OCR_COMPLETE,97.8,,1
046e3230-1234-4321-a001-7cb642591004,Cleaning Supplies - Feb 2024,billing@cleanquip.co.za,2024-02-01T08:45:00Z,CleanQuip Solutions,CQ-2024-112,2024-02-01,2750.50,ZAR,PENDING_OCR,0,,1
046e3230-1234-4321-a001-7cb642591005,Monthly Printer Maintenance,support@xerox.co.za,2024-02-05T13:25:00Z,Xerox SA,XRX-2024-089,2024-02-05,4500.00,ZAR,APPROVED,94.3,,1
046e3230-1234-4321-a001-7cb642591006,Security Services - January,accounts@securitas.co.za,2024-02-10T10:10:00Z,Securitas SA,SEC-JAN-24,2024-02-10,8750.25,ZAR,NEW,91.7,,1
046e3230-1234-4321-a001-7cb642591007,Coffee Supplies Invoice,orders@nespresso.co.za,2024-02-12T15:40:00Z,Nespresso Business,NSP-89012,2024-02-12,3245.60,ZAR,OCR_FAILED,45.2,Poor image quality,1
046e3230-1234-4321-a001-7cb642591008,Internet Services - February,billing@telkom.co.za,2024-02-15T09:00:00Z,Telkom Business,TKM-FEB24,2024-02-15,1899.00,ZAR,COMPLETED,96.5,,1
046e3230-1234-4321-a001-7cb642591009,Office Furniture Invoice,sales@officescene.co.za,2024-02-18T11:50:00Z,Office Scene,OSC-2024-445,2024-02-18,22500.75,ZAR,ERROR,0,System timeout occurred,3
046e3230-1234-4321-a001-7cb642591010,Water Delivery - February,accounts@aquazania.co.za,2024-02-20T14:30:00Z,Aquazania,AQZ-0224,2024-02-20,850.00,ZAR,NEW,93.8,,1 
